row_index,repository,commit,filepath,failure_prone,status,nodes,edges,graphml_path,error
18,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/limits.yml,0.0,SUCCESS,15,15,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/limits.yml/PDG_FILE_LEVEL/pdg.graphml,
19,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/suid_sgid.yml,1.0,SUCCESS,35,42,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/suid_sgid.yml/PDG_FILE_LEVEL/pdg.graphml,
20,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/yum.yml,1.0,SUCCESS,45,54,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
21,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/suid_sgid.yml,1.0,SUCCESS,35,42,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/suid_sgid.yml/PDG_FILE_LEVEL/pdg.graphml,
22,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/user_accounts.yml,1.0,SUCCESS,39,43,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/user_accounts.yml/PDG_FILE_LEVEL/pdg.graphml,
23,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/sysctl.yml,1.0,SUCCESS,55,68,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/sysctl.yml/PDG_FILE_LEVEL/pdg.graphml,
24,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/profile.yml,0.0,SUCCESS,9,8,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/profile.yml/PDG_FILE_LEVEL/pdg.graphml,
25,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/securetty.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/securetty.yml/PDG_FILE_LEVEL/pdg.graphml,
26,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/pam.yml,0.0,SUCCESS,80,180,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/pam.yml/PDG_FILE_LEVEL/pdg.graphml,
27,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/limits.yml,0.0,SUCCESS,15,15,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/limits.yml/PDG_FILE_LEVEL/pdg.graphml,
29,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/minimize_access.yml,1.0,SUCCESS,29,30,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/minimize_access.yml/PDG_FILE_LEVEL/pdg.graphml,
30,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/login_defs.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/login_defs.yml/PDG_FILE_LEVEL/pdg.graphml,
31,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/main.yml,0.0,SUCCESS,4,3,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/main.yml/PDG_FILE_LEVEL/pdg.graphml,
32,dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/rhosts.yml,1.0,SUCCESS,13,14,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d/tasks/rhosts.yml/PDG_FILE_LEVEL/pdg.graphml,
33,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/yum.yml,1.0,SUCCESS,43,52,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
34,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/suid_sgid.yml,1.0,SUCCESS,35,42,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/suid_sgid.yml/PDG_FILE_LEVEL/pdg.graphml,
35,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/user_accounts.yml,1.0,SUCCESS,39,43,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/user_accounts.yml/PDG_FILE_LEVEL/pdg.graphml,
36,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/apt.yml,0.0,SUCCESS,12,13,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/apt.yml/PDG_FILE_LEVEL/pdg.graphml,
37,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/sysctl.yml,1.0,SUCCESS,53,66,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/sysctl.yml/PDG_FILE_LEVEL/pdg.graphml,
38,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/profile.yml,0.0,SUCCESS,9,8,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/profile.yml/PDG_FILE_LEVEL/pdg.graphml,
39,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/securetty.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/securetty.yml/PDG_FILE_LEVEL/pdg.graphml,
40,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/pam.yml,0.0,SUCCESS,80,180,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/pam.yml/PDG_FILE_LEVEL/pdg.graphml,
41,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/limits.yml,0.0,SUCCESS,15,15,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/limits.yml/PDG_FILE_LEVEL/pdg.graphml,
43,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/minimize_access.yml,1.0,SUCCESS,29,30,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/minimize_access.yml/PDG_FILE_LEVEL/pdg.graphml,
44,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/login_defs.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/login_defs.yml/PDG_FILE_LEVEL/pdg.graphml,
45,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/main.yml,0.0,SUCCESS,336,539,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/main.yml/PDG_FILE_LEVEL/pdg.graphml,
46,dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,tasks/rhosts.yml,1.0,SUCCESS,13,14,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/13ad1d266493ef98314d46896b8b3cc31d4c607e/tasks/rhosts.yml/PDG_FILE_LEVEL/pdg.graphml,
47,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/yum.yml,1.0,SUCCESS,43,52,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
48,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/suid_sgid.yml,1.0,SUCCESS,35,42,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/suid_sgid.yml/PDG_FILE_LEVEL/pdg.graphml,
49,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/user_accounts.yml,1.0,SUCCESS,41,45,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/user_accounts.yml/PDG_FILE_LEVEL/pdg.graphml,
50,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/apt.yml,0.0,SUCCESS,12,13,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/apt.yml/PDG_FILE_LEVEL/pdg.graphml,
51,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/sysctl.yml,1.0,SUCCESS,60,75,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/sysctl.yml/PDG_FILE_LEVEL/pdg.graphml,
52,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/profile.yml,0.0,SUCCESS,9,8,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/profile.yml/PDG_FILE_LEVEL/pdg.graphml,
53,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/securetty.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/securetty.yml/PDG_FILE_LEVEL/pdg.graphml,
54,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/pam.yml,0.0,SUCCESS,80,180,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/pam.yml/PDG_FILE_LEVEL/pdg.graphml,
55,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/limits.yml,0.0,SUCCESS,15,15,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/limits.yml/PDG_FILE_LEVEL/pdg.graphml,
57,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/minimize_access.yml,1.0,SUCCESS,42,50,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/minimize_access.yml/PDG_FILE_LEVEL/pdg.graphml,
58,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/login_defs.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/login_defs.yml/PDG_FILE_LEVEL/pdg.graphml,
59,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/main.yml,0.0,SUCCESS,359,573,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/main.yml/PDG_FILE_LEVEL/pdg.graphml,
60,dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,tasks/rhosts.yml,1.0,SUCCESS,14,16,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/f7774d150341f16d9a334acd302ca9c2a56c4db1/tasks/rhosts.yml/PDG_FILE_LEVEL/pdg.graphml,
61,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/yum.yml,1.0,SUCCESS,43,52,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
62,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/suid_sgid.yml,1.0,SUCCESS,35,42,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/suid_sgid.yml/PDG_FILE_LEVEL/pdg.graphml,
63,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/user_accounts.yml,1.0,SUCCESS,41,45,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/user_accounts.yml/PDG_FILE_LEVEL/pdg.graphml,
64,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/apt.yml,0.0,SUCCESS,12,13,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/apt.yml/PDG_FILE_LEVEL/pdg.graphml,
65,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/sysctl.yml,1.0,SUCCESS,60,75,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/sysctl.yml/PDG_FILE_LEVEL/pdg.graphml,
66,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/profile.yml,0.0,SUCCESS,9,8,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/profile.yml/PDG_FILE_LEVEL/pdg.graphml,
67,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/securetty.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/securetty.yml/PDG_FILE_LEVEL/pdg.graphml,
68,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/pam.yml,0.0,SUCCESS,88,204,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/pam.yml/PDG_FILE_LEVEL/pdg.graphml,
69,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/limits.yml,0.0,SUCCESS,15,15,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/limits.yml/PDG_FILE_LEVEL/pdg.graphml,
71,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/minimize_access.yml,1.0,SUCCESS,42,50,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/minimize_access.yml/PDG_FILE_LEVEL/pdg.graphml,
72,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/login_defs.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/login_defs.yml/PDG_FILE_LEVEL/pdg.graphml,
73,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/main.yml,0.0,SUCCESS,367,599,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/main.yml/PDG_FILE_LEVEL/pdg.graphml,
74,dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,tasks/rhosts.yml,1.0,SUCCESS,14,16,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6505157c62c457cd5c56f304712d8efc2efc1fa8/tasks/rhosts.yml/PDG_FILE_LEVEL/pdg.graphml,
75,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/yum.yml,1.0,SUCCESS,43,52,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
76,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/suid_sgid.yml,1.0,SUCCESS,35,42,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/suid_sgid.yml/PDG_FILE_LEVEL/pdg.graphml,
77,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/user_accounts.yml,1.0,SUCCESS,41,45,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/user_accounts.yml/PDG_FILE_LEVEL/pdg.graphml,
78,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/apt.yml,0.0,SUCCESS,12,13,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/apt.yml/PDG_FILE_LEVEL/pdg.graphml,
79,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/sysctl.yml,1.0,SUCCESS,64,84,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/sysctl.yml/PDG_FILE_LEVEL/pdg.graphml,
80,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/profile.yml,0.0,SUCCESS,9,8,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/profile.yml/PDG_FILE_LEVEL/pdg.graphml,
81,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/securetty.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/securetty.yml/PDG_FILE_LEVEL/pdg.graphml,
82,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/pam.yml,0.0,SUCCESS,82,182,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/pam.yml/PDG_FILE_LEVEL/pdg.graphml,
83,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/limits.yml,0.0,SUCCESS,15,15,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/limits.yml/PDG_FILE_LEVEL/pdg.graphml,
85,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/minimize_access.yml,1.0,SUCCESS,42,50,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/minimize_access.yml/PDG_FILE_LEVEL/pdg.graphml,
86,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/login_defs.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/login_defs.yml/PDG_FILE_LEVEL/pdg.graphml,
87,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/main.yml,0.0,SUCCESS,365,584,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/main.yml/PDG_FILE_LEVEL/pdg.graphml,
88,dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,tasks/rhosts.yml,1.0,SUCCESS,14,16,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/7fdd7b4bb8dba52c78773d795b728134ebb15073/tasks/rhosts.yml/PDG_FILE_LEVEL/pdg.graphml,
89,dev-sec/ansible-collection-hardening,6d21d249b965e92dbe9f3356dee0e058a94b9bcb,tasks/yum.yml,1.0,SUCCESS,43,52,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/6d21d249b965e92dbe9f3356dee0e058a94b9bcb/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
